image_id,vehicle_count,congestion_label
00000000,5,2
00000001,6,2
00000002,1,0
00000003,2,0
00000004,1,0
00000005,2,0
00000006,1,0
00000007,1,0
00000008,1,0
00000009,7,2
00000010,1,0
00000011,5,2
00000012,8,2
00000013,3,1
00000014,5,2
00000015,5,2
00000016,6,2
00000017,1,0
00000018,2,0
00000019,4,2
00000020,1,0
00000021,2,0
00000022,2,0
00000023,4,2
00000024,1,0
00000025,2,0
00000026,5,2
00000027,2,0
00000028,1,0
00000029,2,0
00000030,2,0
00000031,6,2
00000032,3,1
00000033,1,0
00000034,1,0
00000035,2,0
00000036,2,0
00000037,1,0
00000038,1,0
00000039,4,2
00000040,4,2
00000041,2,0
00000042,3,1
00000043,16,2
00000044,2,0
00000045,2,0
00000046,2,0
00000047,6,2
00000048,7,2
00000049,4,2
00000050,5,2
00000051,1,0
00000052,4,2
00000053,3,1
00000054,3,1
00000055,1,0
00000056,2,0
00000057,2,0
00000058,2,0
00000059,3,1
00000060,9,2
00000061,1,0
00000062,4,2
00000063,2,0
00000064,1,0
00000065,2,0
00000066,1,0
00000067,2,0
00000068,2,0
00000069,2,0
00000070,1,0
00000071,3,1
00000072,1,0
00000073,10,2
00000074,2,0
00000075,3,1
00000076,2,0
00000077,4,2
00000078,1,0
00000079,5,2
00000080,4,2
00000081,2,0
00000082,4,2
00000083,4,2
00000084,1,0
00000085,18,2
00000086,5,2
00000087,7,2
00000088,1,0
00000089,1,0
00000090,2,0
00000091,2,0
00000092,1,0
00000093,3,1
00000094,2,0
00000095,1,0
00000096,2,0
00000097,2,0
00000098,8,2
00000099,6,2
00000100,1,0
00000101,2,0
00000102,3,1
00000103,1,0
00000104,4,2
00000105,4,2
00000106,2,0
00000107,1,0
00000108,1,0
00000109,1,0
00000110,2,0
00000111,5,2
00000112,3,1
00000113,6,2
00000114,1,0
00000115,1,0
00000116,1,0
00000117,2,0
00000118,2,0
00000119,2,0
00000120,1,0
00000121,1,0
00000122,3,1
00000123,2,0
00000124,2,0
00000125,10,2
00000126,4,2
00000127,5,2
00000128,1,0
00000129,2,0
00000130,11,2
00000131,3,1
00000132,4,2
00000133,1,0
00000134,8,2
00000135,3,1
00000136,6,2
00000137,6,2
00000138,3,1
00000139,2,0
00000140,8,2
00000141,1,0
00000142,2,0
00000143,1,0
00000144,16,2
00000145,8,2
00000146,1,0
00000147,1,0
00000148,1,0
00000149,1,0
00000150,2,0
00000151,2,0
00000152,4,2
00000153,2,0
00000154,1,0
00000155,13,2
00000156,1,0
00000157,1,0
00000158,1,0
00000159,3,1
00000160,5,2
00000161,7,2
00000162,1,0
00000163,1,0
00000164,2,0
00000165,2,0
00000166,2,0
00000167,1,0
00000168,5,2
00000169,4,2
00000170,7,2
00000171,2,0
00000172,2,0
00000173,3,1
00000174,3,1
00000175,2,0
00000176,2,0
00000177,3,1
00000178,1,0
00000179,1,0
00000180,4,2
00000181,1,0
00000182,3,1
00000183,8,2
00000184,3,1
00000185,1,0
00000186,5,2
00000187,2,0
00000188,2,0
00000189,1,0
00000190,1,0
00000191,1,0
00000192,1,0
00000193,1,0
00000194,5,2
00000195,1,0
00000196,2,0
00000197,1,0
00000198,8,2
00000199,2,0
00000200,5,2
00000201,9,2
00000202,1,0
00000203,3,1
00000204,2,0
00000205,5,2
00000206,3,1
00000207,19,2
00000208,1,0
00000209,1,0
00000210,1,0
00000211,7,2
00000212,1,0
00000213,1,0
00000214,4,2
00000215,2,0
00000216,2,0
00000217,3,1
00000218,2,0
00000219,5,2
00000220,1,0
00000221,9,2
00000222,1,0
00000223,1,0
00000224,5,2
00000225,1,0
00000226,3,1
00000227,1,0
00000228,2,0
00000229,4,2
00000230,3,1
00000231,4,2
00000232,4,2
00000233,2,0
00000234,1,0
00000235,1,0
00000236,1,0
00000237,8,2
00000238,1,0
00000239,1,0
00000240,1,0
00000241,6,2
00000242,7,2
00000243,3,1
00000244,1,0
00000245,6,2
00000246,1,0
00000247,2,0
00000248,1,0
00000249,1,0
00000250,6,2
00000251,3,1
00000252,4,2
00000253,2,0
00000254,5,2
00000255,3,1
00000256,2,0
00000257,18,2
00000258,1,0
00000259,2,0
00000260,3,1
00000261,9,2
00000262,1,0
00000263,6,2
00000264,3,1
00000265,1,0
00000266,9,2
00000267,1,0
00000268,2,0
00000269,3,1
00000270,1,0
00000271,3,1
00000272,4,2
00000273,2,0
00000274,2,0
00000275,3,1
00000276,2,0
00000277,1,0
00000278,2,0
00000279,1,0
00000280,10,2
00000281,5,2
00000282,5,2
00000283,2,0
00000284,2,0
00000285,1,0
00000286,1,0
00000287,3,1
00000288,1,0
00000289,2,0
00000290,10,2
00000291,6,2
00000292,3,1
00000293,1,0
00000294,2,0
00000295,2,0
00000296,1,0
00000297,1,0
00000298,2,0
00000299,5,2
00000300,2,0
00000301,3,1
00000302,3,1
00000303,4,2
00000304,4,2
00000305,4,2
00000306,3,1
00000307,5,2
00000308,1,0
00000309,1,0
00000310,5,2
00000311,3,1
00000312,4,2
00000313,1,0
00000315,3,1
00000316,3,1
00000317,4,2
00000318,6,2
00000319,1,0
00000320,2,0
00000321,1,0
00000322,3,1
00000323,4,2
00000324,3,1
00000325,1,0
00000326,2,0
00000327,4,2
00000328,6,2
00000329,1,0
00000330,2,0
00000331,1,0
00000332,3,1
00000333,7,2
00000334,11,2
00000335,2,0
00000336,4,2
00000337,2,0
00000338,2,0
00000339,2,0
00000340,5,2
00000341,1,0
00000342,3,1
00000343,1,0
00000344,3,1
00000345,3,1
00000346,6,2
00000347,1,0
00000348,4,2
00000349,1,0
00000350,2,0
00000351,5,2
00000352,3,1
00000353,1,0
00000354,1,0
00000355,3,1
00000356,6,2
00000357,2,0
00000358,4,2
00000359,7,2
00000360,1,0
00000361,13,2
00000362,3,1
00000363,8,2
00000364,6,2
00000365,2,0
00000366,4,2
00000367,10,2
00000368,3,1
00000369,16,2
00000370,3,1
00000371,3,1
00000372,4,2
00000373,1,0
00000374,3,1
00000375,1,0
00000376,3,1
00000377,2,0
00000378,5,2
00000379,9,2
00000380,3,1
00000381,9,2
00000382,3,1
00000383,2,0
00000384,1,0
00000385,2,0
00000386,3,1
00000387,2,0
00000388,1,0
00000389,5,2
00000390,3,1
00000391,8,2
00000392,12,2
00000393,1,0
00000394,2,0
00000395,1,0
00000396,8,2
00000397,14,2
00000398,2,0
00000399,4,2
00000400,1,0
00000401,2,0
00000402,3,1
00000403,7,2
00000404,7,2
00000405,1,0
